Country/Territory,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Country Income Category,Current Amount of Aid Given by US ($USD),Constant Amount of Aid Given by US ($USD),Longitude,Latitude
Indonesia,337724,487566,145752,604467,74664,237902,81342,376966,74981,12980,3197011,13587011,1820769,2238128,16158,223144,191693,2590656,3614,4672674,7489,1888549,964478,27837,560546,1325509,2559457,2249388,3204787,51790,231909,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,5829342555,8036290147,113.921327,-0.789275
Iran,24352,193079,43637,10538,9626,44581,51931,10745,12172,67589,23950,3324327,263585,598949,5282,112443,32260,39224,1554,1090010,7418,195174,214300,29456,9532,686465,312080,132716,218276,67756,13703,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,34845878,47878959,53.688046,32.427908
Iraq,28445,61632,14205,10098,80,32084,89510,17972,1445,11444,41237,1618343,168325,437091,1156,42924,169,67971,1006,413688,334949,170096,150762,3913,9301,156762,79495,60845,86151,30794,5694,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,69919611868,94861133977,43.679291,33.223191
Ireland,417,23612,5896,267,0,1211,792,58,350,2952,871,229933,37141,2339,1813,10382,12,612,214,179855,10,9477,11125,277,129,6414,47282,6924,21742,963,24,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,412287834,654646865,-8.24389,53.41291
Israel,1045,48452,12292,990,0,1526,5255,262,1186,1640,1423,353386,32778,10404,1862,15596,49,5931,419,331189,8833,63661,54179,243,743,19927,47848,18669,46616,1348,177,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,91410951137,136510139094,34.851612,31.046051
Italy,2612,533828,91740,8483,0,5115,7247,320,10357,6728,5593,2822906,136345,11736,4421,57270,736,9981,2204,2368536,20,259888,182223,1159,6106,75960,368239,163745,351206,6165,1197,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,10703049,13342362,12.56738,41.87194
Jamaica,1063,17776,3421,2871,0,472,13745,919,13671,133,462,151968,13598,18714,233,1910,101,2130,38,96446,86,53947,20966,111,2658,4761,16370,4894,13363,625,56,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1114180731,1728900165,-77.297508,18.109581
Japan,8339,2177157,240234,28475,0,136003,16327,1197,3696,8636,77244,6079076,1860980,14733,12974,568997,20683,53259,33848,7405581,38,150832,702028,7663,21672,165160,861123,481218,992296,33403,3618,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,103329132,133292372,138.252924,36.204824
Jordan,1982,10111,2629,429,0,3318,6502,3010,400,252,1044,201236,23329,49239,270,4807,63,2337,105,82273,1084,35911,26307,1681,367,25603,16228,11054,19434,4429,424,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,20525964478,27034356686,36.238414,30.585164
Kazakhstan,7608,50083,15001,3016,0,37634,69247,3004,7304,14804,78957,2051232,121452,67784,55975,138974,211,12219,34879,579593,407,46159,40309,18524,1971,91570,203075,145696,214760,17202,2528,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,2657408714,3694672447,66.923684,48.019573
Kenya,140063,51425,11205,173201,303684,16553,96919,106386,2583539,1496,452070,798827,644983,584643,6408,65367,1546,729360,5862,409423,9319,116148,89063,19489,167652,100798,163945,272978,428683,19466,34762,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,12423776624,15816836647,37.906193,-0.023559
Kuwait,185,4245,651,16,0,401,687,69,54,239,527,47906,7048,3625,114,1593,1,100,36,17793,2605,4344,4136,297,1,8525,2655,2308,3793,514,29,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,24078219,29358339,47.481766,29.31166
Kyrgyzstan,2813,18276,3338,506,12,11555,11904,1847,3694,2066,18374,491708,45828,48067,11944,18464,600,8233,3521,105428,672,8102,14596,3269,417,25626,67036,53550,63640,4157,1030,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,1600687629,2270121407,74.766098,41.20438
Laos,13812,9990,3093,17326,5372,18731,21020,18920,6315,389,110749,309868,197088,154761,2226,13307,377,87415,444,112232,393,34098,40767,1601,16271,36050,76974,30997,66638,3451,3834,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,404915978,515209423,102.495496,19.85627
Latvia,728,23112,5117,303,0,8473,8685,151,3033,1657,4160,544361,13047,2705,10957,21098,10,155,6580,176973,9,9100,5191,1722,94,16013,15486,12609,30628,6883,183,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,328165877,441368553,24.603189,56.879635
Lebanon,1274,21842,4369,402,0,1838,8275,789,1906,1860,1710,362107,22009,25063,363,4291,48,2263,90,151517,4927,18508,25459,970,339,11511,28211,13849,21986,2618,4381,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,5588742837,6941244859,35.862285,33.854721
Lesotho,5587,4029,950,7255,0,2953,19200,4597,322742,149,73453,105072,58784,49731,808,16070,49,60502,708,50752,151,26695,12162,1276,7057,21479,33797,10825,23737,3124,1037,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,1033501612,1352854425,28.233608,-29.609988
Liberia,23708,6384,1796,22781,145813,3478,5603,22163,49585,120,39624,105814,85243,92621,688,5642,14,142432,519,43827,20518,13945,14987,1868,21878,12910,14733,24659,38910,2493,3284,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,4409022281,5820467826,-9.429499,6.428055
Libya,739,13132,2383,247,0,1558,6524,525,1079,2406,1058,150010,11020,9635,301,4785,16,1182,70,64940,17181,10210,16132,958,202,31029,13970,9196,14186,2019,578,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,748685210,907086474,17.228331,26.3351
Lithuania,1042,32826,6271,190,0,11752,9714,137,1784,2803,9166,657865,16145,3315,17741,42217,20,301,8876,241986,19,7278,6720,4540,85,21638,31808,25576,51246,4251,73,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,503366726,695281533,23.881275,55.169438
Luxembourg,1,214,53,7,0,3,6,0,2,16,2,1212,123,7,26,66,0,16,1,1195,0,62,110,1,7,36,204,84,197,3,0,High Income Country,5242,6236,6.129583,49.815273
Madagascar,81655,18593,4612,260158,202088,15133,11761,75125,34991,849,344136,773591,488612,386736,3324,33836,2072,640290,3720,230677,1343,59912,42875,10727,252909,72953,149271,105287,159999,11569,6929,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,1784367855,2456258393,46.869107,-18.766947
Malawi,107433,19156,4515,113304,404288,14016,9142,39029,1265348,716,274335,371555,380042,393356,2825,28814,953,413051,2442,226599,92,58163,41137,9509,109606,55753,62074,99983,151852,10228,12214,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,4096601911,5388275610,34.301525,-13.254308
Malaysia,10204,64618,16274,5563,1437,21733,16974,9806,49843,2393,64779,1194056,336632,58843,4559,38809,794,31782,371,570533,123,90231,113850,5519,5275,178875,183160,94730,202459,7393,6003,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,459946177,566160244,101.975766,4.210484
Maldives,80,632,177,281,0,660,179,360,12,27,722,11120,826,3621,29,380,102,588,0,3927,0,965,1640,0,220,535,2926,640,992,134,35,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,37894888,48550021,73.22068,3.202778
Mali,189707,23893,6495,304544,711087,24627,37790,80995,137382,319,174546,423975,387730,747229,2066,19059,124,579172,3140,191446,32775,55390,56761,13283,297954,61404,103596,85878,148239,17049,15178,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,3520179413,4677705862,-3.996166,17.570692
Malta,75,3763,1008,29,0,133,166,16,72,165,42,38409,4205,462,74,666,1,49,29,22862,3,3024,2249,29,16,651,3735,1147,3079,62,0,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,38476340,51922580,14.375416,35.937496
Marshall Islands,49,67,49,61,0,183,120,60,56,0,264,3454,666,505,27,341,0,279,0,1125,0,696,345,0,58,311,706,262,457,30,15,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1766530426,2579078403,171.184478,7.131474
Mauritania,10642,6830,1790,13719,26053,1721,4872,18876,1142,105,20346,95870,64681,75578,438,3891,76,85902,389,44019,156,13766,14862,1070,13157,25652,14363,17690,29856,1677,1105,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,499292627,659739892,-10.940835,21.00789
Mauritius,310,5711,1192,375,0,1216,921,241,1270,252,449,91523,7729,5045,1956,3833,28,932,20,29873,0,30635,21548,76,351,5126,12975,8581,11934,1026,33,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,36044707,56750222,57.552152,-20.348404
Mexico,24956,403107,87040,269731,218,93275,554972,42091,147499,13283,113769,3244515,643772,734235,129387,158347,4593,273613,5348,2134942,1333,1328966,1182693,18046,234785,597433,771520,985079,1483060,31896,7297,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,5497514832,7198212477,-102.552784,23.634501
Moldova,1311,23990,4541,141,0,8509,12187,407,4867,922,10557,702996,30159,8302,11926,20913,69,769,6696,169546,1053,9703,5306,6959,94,17947,42854,94973,119624,4624,209,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,1393053310,1974601446,28.369885,47.411631
Mongolia,3955,4364,1208,653,0,4903,8592,2160,180,381,14120,225095,39822,28585,8937,16112,246,6251,7103,117172,156,2758,11076,4402,44,14967,13470,33898,48528,2650,1636,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,917794650,1286267470,103.846656,46.862496
Montenegro,46,3691,1062,24,0,298,651,19,52,26,149,86081,1597,1029,201,2935,1,24,136,34559,3,3224,2715,94,24,1628,1834,1147,3495,318,0,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,449575841,674404642,19.37439,42.708678
Morocco,29170,102231,24816,9729,0,17133,10907,38902,17552,7718,168232,2551096,252563,400341,2745,76054,1847,153225,3521,543654,171,112749,182577,8898,8554,305148,213543,105855,179607,29598,15900,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,3129300646,4413864557,-7.09262,31.791702
Mozambique,120772,31971,6976,195650,817948,22265,33861,52371,1541266,1804,602652,666919,546527,734771,5048,46724,2592,514639,4100,266464,5574,93783,58349,16546,188945,114554,94550,66310,156332,18141,17322,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,6714617249,8961938667,35.529562,-18.665695
Namibia,3979,4486,1149,7408,7383,2130,11562,2864,156336,140,33474,94038,42672,30358,649,6700,264,27497,548,32146,216,18854,8490,847,7214,15198,23323,8575,18726,2372,309,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1599853888,2143575239,18.49041,-22.95764
